EnsembleID,P3240SPE,P3072PE,P3330PE,P3113SPE
ENSG00000196263,1.362028924,1.362028924,1.362028924,2.926623954
ENSG00000196267,1.970750446,2.873298476,2.297582008,3.105989111
ENSG00000196268,2.726445499,1.362028924,1.362028924,3.105989111
ENSG00000196275,1.970750446,1.362028924,2.297582008,2.721750054
ENSG00000196277,1.362028924,1.362028924,1.362028924,1.83876202
ENSG00000196284,2.39752232,1.362028924,3.264245782,3.265500105
ENSG00000196290,1.970750446,1.362028924,1.362028924,2.926623954
ENSG00000196295,6.058751452,4.959398801,5.047308503,5.97646405
ENSG00000196305,4.065024699,4.073925384,2.860406165,4.143143891
ENSG00000196312,1.362028924,3.595062759,1.362028924,2.196479516
ENSG00000196313,4.280671036,4.432835737,3.264245782,4.793614843
ENSG00000196323,4.594461968,5.344325482,4.247284286,5.315181463
ENSG00000196329,1.698259332,1.362028924,2.297582008,3.968626535
ENSG00000196335,2.726445499,1.362028924,1.362028924,1.83876202
ENSG00000196338,1.362028924,1.362028924,1.362028924,1.83876202
ENSG00000196352,6.372449969,4.432835737,5.047308503,5.90555997
ENSG00000196353,2.199859906,1.362028924,1.362028924,1.362028924
ENSG00000196357,1.698259332,1.362028924,1.362028924,2.196479516
ENSG00000196358,2.39752232,1.362028924,2.860406165,3.265500105
ENSG00000196361,1.362028924,1.362028924,2.297582008,1.362028924
ENSG00000196363,2.866484304,2.873298476,2.860406165,2.926623954
ENSG00000196365,2.994124522,2.873298476,4.415312308,4.627309213
ENSG00000196367,5.208535837,6.112019471,4.702055223,6.021868618
ENSG00000196368,1.698259332,1.362028924,1.362028924,1.362028924
ENSG00000196369,3.219825396,3.595062759,3.264245782,3.265500105
ENSG00000196371,1.970750446,1.362028924,1.362028924,2.482889605
ENSG00000196372,1.698259332,1.362028924,1.362028924,2.196479516
ENSG00000196378,1.970750446,1.362028924,1.362028924,1.362028924
ENSG00000196381,1.362028924,1.362028924,1.362028924,1.83876202
ENSG00000196387,2.199859906,1.362028924,3.837922805,1.362028924
ENSG00000196388,1.698259332,1.362028924,1.362028924,1.362028924
ENSG00000196396,5.968374841,5.50407225,5.047308503,5.805251825
ENSG00000196405,6.197833378,6.867112773,5.695817466,7.473404003
ENSG00000196407,5.936945825,1.362028924,3.837922805,3.265500105
ENSG00000196411,1.362028924,1.362028924,2.297582008,3.265500105
ENSG00000196415,1.698259332,1.362028924,1.362028924,1.83876202
ENSG00000196417,3.111384157,3.595062759,2.860406165,3.65948132
ENSG00000196418,4.852045989,4.432835737,5.485300064,4.740281679
ENSG00000196419,6.014270728,6.744466933,6.756682583,6.229648788
ENSG00000196421,1.362028924,1.362028924,1.362028924,1.83876202
ENSG00000196422,1.970750446,1.362028924,1.362028924,1.83876202
ENSG00000196428,3.740334732,2.873298476,3.264245782,4.439304308
ENSG00000196436,1.362028924,1.362028924,1.362028924,1.83876202
ENSG00000196437,4.594461968,1.362028924,3.264245782,4.058522444
ENSG00000196440,1.970750446,1.362028924,1.362028924,2.482889605
ENSG00000196453,2.726445499,2.873298476,2.297582008,3.539723606
ENSG00000196455,2.571337666,1.362028924,2.860406165,2.721750054
ENSG00000196456,1.362028924,1.362028924,2.297582008,3.409117527
ENSG00000196458,2.866484304,4.073925384,1.362028924,3.77005544
ENSG00000196459,8.326405807,3.595062759,7.232277613,5.83099024
ENSG00000196465,2.571337666,2.873298476,3.264245782,2.196479516
ENSG00000196466,1.362028924,1.362028924,1.362028924,1.83876202
ENSG00000196470,4.377499418,1.362028924,2.297582008,3.105989111
ENSG00000196476,3.111384157,1.362028924,1.362028924,1.83876202
ENSG00000196482,1.362028924,3.595062759,1.362028924,1.362028924
ENSG00000196497,2.39752232,3.595062759,3.264245782,2.482889605
ENSG00000196498,6.51761142,6.678998746,6.987564134,7.00440169
ENSG00000196502,3.111384157,5.164662069,2.297582008,3.872754685
ENSG00000196504,6.668753595,7.182673394,6.756682583,6.587680579
ENSG00000196505,4.468235768,3.595062759,2.860406165,4.845046488
ENSG00000196507,6.395755422,4.959398801,5.325686124,4.567322475
ENSG00000196510,3.111384157,2.873298476,4.247284286,3.539723606
ENSG00000196511,2.39752232,1.362028924,1.362028924,3.105989111
ENSG00000196517,1.698259332,1.362028924,1.362028924,1.83876202
ENSG00000196526,7.606141297,3.595062759,4.057074522,5.034190322
ENSG00000196531,9.188403152,11.47774116,10.32577052,10.29663796
ENSG00000196535,5.714050751,6.744466933,6.234431004,6.731274089
ENSG00000196542,1.362028924,2.873298476,1.362028924,1.362028924
ENSG00000196544,5.35840478,2.873298476,4.941146883,3.968626535
